,,,,,,
,Rank,County,Population,,,
,1,Bernalillo County,"679,121",,,
,2,Doña Ana County,"218,195",,,
,3,Santa Fe County,"150,358",,,
,4,Sandoval County,"146,748",,,
,5,San Juan County,"123,958",,,
,6,Valencia County,"76,688",,,
,7,McKinley County,"71,367",,,
,8,Lea County,"71,070",,,
,9,Otero County,"67,490",,,
,10,Chaves County,"64,615",,,
,11,Eddy County,"58,460",,,
,12,Curry County,"48,954",,,
,13,Rio Arriba County,"38,921",,,
,14,Taos County,"32,723",,,
,15,San Miguel County,"27,277",,,
,16,Grant County,"26,998",,,
,17,Cibola County,"26,675",,,
,18,Luna County,"23,709",,,
,19,Lincoln County,"19,572",,,
,20,Los Alamos County,"19,369",,,
,21,Roosevelt County,"18,500",,,
,22,Socorro County,"16,637",,,
,23,Torrance County,"15,461",,,
,24,Colfax County,"11,941",,,
,25,Sierra County,"10,791",,,
,26,Quay County,"8,253",,,
,27,Mora County,"4,521",,,
,28,Guadalupe County,"4,300",,,
,29,Hidalgo County,"4,198",,,
,30,Union County,"4,059",,,
,31,Catron County,"3,527",,,
,32,De Baca County,"1,748",,,
,33,Harding County,625,,,
